time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.45643691898e-06,1.58969326423e-11,0.526161908246,9.6276790984e-09,0.0013513552743,0.0,-0.000582371774429,1.5890446292e-09,0.871830981643,4.64798183351e-07,0.0115908319562,0.0,899.712453184,900.181449807,0.114617253377,0.220896654424
0.12000000000000001,-0.000114396912701,7.57434869197e-10,0.604529546141,3.74324926611e-08,0.00284025307938,0.0,-0.00321661027979,2.91150715886e-08,1.73953426996,4.62721222219e-07,0.0202221335717,0.0,899.668863985,900.017995679,0.111652185006,0.00783384600941
0.18,-0.000443758593887,4.16563795658e-09,0.734744466347,6.28318525462,0.00453799745483,0.0,-0.00810725578902,7.75970853454e-08,2.59943250881,-5.23696594545e-06,0.0267402804682,0.0,899.825922107,900.089469144,0.734355460007,-0.0508867337448
0.23999999999999996,-0.00113942912151,3.8602422431e-09,0.916203443055,6.28318482256,0.00626685083852,0.0,-0.0154326172824,-1.67026054364e-07,3.44705713841,-1.08831767768e-05,0.0295865255208,0.0,899.943106935,900.058063966,0.892106552053,-0.40600371447
0.3,-0.00235253164393,-3.22042706907e-08,1.14805994023,6.28318403732,0.00860299029994,0.0,-0.0254964652195,-1.18473524843e-06,4.27877541265,-1.72094467261e-05,0.0200946894459,0.0,900.351012349,899.966695791,0.974028832164,-0.400171232292
0.36000000000000004,-0.00426042866413,-1.64478197216e-07,1.42921819874,6.28318317831,0.0104980384672,0.0,-0.0384846198944,-3.41537804754e-06,5.0899297552,-8.53573561421e-06,0.00972062651575,0.0,900.232613821,899.812524975,0.542089737501,-0.796107418022
0.4200000000000001,-0.00700883119936,-4.61045692561e-07,1.75837444632,6.28318294777,0.0110950939616,0.0,-0.0532098733063,-6.53745233242e-06,5.8782458668,5.46292566976e-06,0.0102808069028,0.0,900.195047079,900.217535924,0.591400967266,-1.009782206
0.48000000000000015,-0.0106605801876,-9.46238704573e-07,2.1340525077,6.28318359644,0.0123104143115,0.0,-0.0686965155999,-9.52874736083e-06,6.6402567461,2.14017036116e-05,0.0176398644923,0.0,900.070647712,900.368222311,0.519828681634,-1.07748690671
0.5400000000000001,-0.0152831068006,-1.57625804417e-06,2.55459122686,6.28318512343,0.0139227533967,0.0,-0.0856328468045,-1.11910848129e-05,7.37327019659,3.34853396548e-05,0.0246808438283,0.0,900.022356806,900.307043269,0.392521879388,-0.938174107574
0.6000000000000002,-0.0209728162668,-2.24035506742e-06,3.01816787695,1.93249080116e-06,0.0154923036953,0.0,-0.104252142424,-1.05536503611e-05,8.07459852895,3.88295547154e-05,0.0269570212999,0.0,899.848351636,899.940249695,0.37382968431,-0.623917413772
0.6600000000000003,-0.0278271762827,-2.7840462459e-06,3.52287356565,4.32235892145e-06,0.0171749590926,0.0,-0.124469710401,-7.14285003689e-06,8.74404170002,4.18305434121e-05,0.022712619321,0.0,900.114703442,899.94266247,0.422126715602,-0.467539364818
0.7200000000000003,-0.0359408945571,-3.03612914284e-06,4.06673089427,6.90975776951e-06,0.0188492800997,0.0,-0.146215929628,-8.23613969701e-07,9.37953011482,4.57026075139e-05,0.015281439718,0.0,900.010083251,899.708984854,0.361283293403,-0.531076557523
0.7800000000000004,-0.045395724932,-2.81974164528e-06,4.64769330698,9.68374691013e-06,0.0197631341968,0.0,-0.169009429229,8.48305248228e-06,9.98081676793,4.72931874283e-05,0.0151187986334,0.0,899.808287485,899.801471545,0.388853145416,-0.340381632391
0.8400000000000004,-0.0562304902689,-1.95539155747e-06,5.26370360006,1.25537509295e-05,0.0206619107991,0.0,-0.192204648937,2.07632062425e-05,10.5477849676,4.89127327402e-05,0.013257230604,0.0,899.822180835,899.746581112,0.0775651134566,-0.343467082842
0.9000000000000005,-0.068470447152,-2.67049497481e-07,5.912714236,1.54885142543e-05,0.0222756512763,0.0,-0.215940990536,3.59343890641e-05,11.0808659578,4.89127007436e-05,0.0220390840249,0.0,899.685236897,900.040552074,0.194423971248,0.0911374310672
0.9600000000000005,-0.0821662050782,2.41469826508e-06,6.59270702544,1.84302588639e-05,0.0237398391492,0.0,-0.240702771386,5.38493690899e-05,11.580605924,4.92617781644e-05,0.0251357164717,0.0,899.922339219,900.047445254,0.234425753767,-0.159464987728
1.0200000000000005,-0.0973734507692,6.24927954589e-06,7.30169896044,2.14079215564e-05,0.0253192187959,0.0,-0.266342042672,7.43400781491e-05,12.0476237072,5.03590762771e-05,0.0207752477002,0.0,900.174342,899.997587994,-0.187322498947,-0.33914470036
1.0800000000000005,-0.114144748041,1.13873440913e-05,8.03775565433,2.43892762537e-05,0.0270586204191,0.0,-0.292834067452,9.72790532079e-05,12.482914605,4.83478975618e-05,0.0273589638951,0.0,900.078519845,900.344732032,-0.432317182124,-0.201014010174
1.1400000000000006,-0.13253376518,1.79695694916e-05,8.79899136655,2.71522048791e-05,0.0286908000155,0.0,-0.32025170888,0.000122430896882,12.8871045239,4.14307015416e-05,0.0255957996344,0.0,900.224447967,900.152845172,-0.709820629004,0.375546807476
1.2000000000000006,-0.152591126894,2.61163416224e-05,9.58357256627,2.95552006246e-05,0.0305607610293,0.0,-0.348460494207,0.000149356480171,13.261297984,3.72812109343e-05,0.030841348847,0.0,900.003160236,900.215258394,-0.54976961889,0.580246542404
