episode,total_reward
1,437.22264699538516
2,-65.71222185417925
3,-58.536730650592474
4,-51.17628816567205
5,-50.33649245240716
6,284.7089984939801
7,475.51211235268664
8,455.1501580924705
9,470.7026538504762
10,474.55148227441623
11,467.1172553335045
12,469.4791976773029
13,471.5024937837464
14,472.2415653616297
15,472.4683769005568
16,472.32620738587707
17,472.17602815299244
18,472.95647945218906
19,473.13031344548625
20,473.16523808534225
21,473.03063667953535
22,472.5603034898995
23,473.20472334853673
24,473.2703465442917
25,473.133511608695
26,472.92275843450386
27,473.11043920886465
28,473.33806583604223
29,473.22262645245564
30,473.32996884555644
31,473.2190119151677
32,473.34211656579197
33,473.59167584150543
34,473.2249351389293
35,473.533287599167
36,473.5474453558337
37,472.98337911979036
38,473.1830179553239
39,472.5420073602405
40,473.4729419013422
41,473.1350393316555
42,473.16112456287834
43,473.4156111121231
44,473.4138194119085
45,473.3344840706555
46,473.1786241552552
47,473.3624792083504
48,473.3201654650226
49,473.3403202345051
50,473.4282331506862
51,473.4738619590046
52,473.3549817068565
53,473.411760545222
54,473.01113077467465
55,473.45483307039706
56,472.97530194036085
57,473.1669052683303
58,473.615856756384
59,473.6794216989087
60,473.5577437683138
61,472.8413895335646
62,473.1769727361829
63,472.7781560154135
64,473.40609556565823
65,473.57942189825036
66,473.43388483209134
67,473.0848761255729
68,473.3238519144684
69,473.3875348252995
70,473.04544871395217
71,473.1030948667024
72,473.3414649742959
73,473.3737034135504
74,473.66402586640123
75,473.25275249127696
76,473.5441155064764
77,473.2924574140199
78,473.09706547129053
79,473.00547969821014
80,473.5457151946845
81,473.4731350174309
82,473.537317624857
83,473.3628785105114
84,473.11643844849027
85,473.27353321375506
86,473.5134269177968
87,473.51489435919416
88,473.108404966818
89,473.25574020747865
90,472.8739280830451
91,473.30156758829634
92,473.1887423588252
93,473.3323173451019
94,473.57963072505237
95,472.26823850042956
96,473.3127931553188
97,473.6122423185517
98,473.2579149668166
99,473.3650833489524
100,473.4246575397402
101,472.63668109744646
102,473.4478072006347
103,473.53164172153225
104,473.60403644680434
105,473.1695792233019
106,473.4108055172022
107,473.57196525101244
108,473.46466215935976
109,473.45198656974964
110,473.3800904795656
111,473.3596718192254
112,473.56215172518984
113,473.3805545287154
114,473.3376038286187
115,473.38378061089503
116,473.14850994610856
117,473.61998883021556
118,472.45274084734206
119,473.4767904755481
120,473.1084115247468
121,473.47587555536705
122,473.17888495815583
123,472.7771007609458
124,473.290979606075
125,472.7148583518752
126,473.1927122280159
127,473.0839195870535
128,473.0705999313268
129,473.52158927469753
130,473.23138783292904
131,473.48951854304016
132,472.38849186538766
133,473.5574099960396
134,473.47424043604656
135,473.3016192011538
136,473.37188865166496
137,473.678740537626
138,473.10461929855916
139,473.2014721087775
140,473.4896647136779
141,473.3941727135974
142,473.324692110704
143,473.2005333381038
144,473.41444138190025
145,473.4826879295105
146,473.5287334836128
147,473.1101605886767
148,473.1599555025434
149,473.3925762944449
150,473.4099491494384
151,473.2630176125756
152,473.5270855224594
153,473.40269885613577
154,473.5464150398728
155,473.45608608891894
156,473.20771285171213
157,473.3573029809674
158,473.6307324079719
159,473.1501439275716
160,473.1103422552006
161,473.29728016468005
162,472.92186755042525
163,473.48525034930555
164,473.18242975559673
165,473.21753605714855
166,473.30433227858
167,473.4854571018572
168,473.3180987238437
169,473.2124691188852
170,473.34189894566936
171,472.7040024091546
172,473.50336206069477
173,473.2625089338343
174,473.4437207872793
175,473.2520844020821
176,473.5999879070257
177,473.26393370642444
178,473.33900288592116
179,473.5631666725803
180,473.3542481659083
181,472.94413610192606
182,473.465369646594
183,473.34681977046216
184,473.4641737315841
185,473.5427847412933
186,473.3264330594727
187,473.5847439974872
188,473.58703963216726
189,472.7610609168243
190,473.51946500288466
191,473.6529755660864
192,473.2723318193296
193,473.1475034770775
194,473.49236613389735
195,473.1771677070084
196,473.4427042162914
197,472.50779356249217
198,473.16129609454515
199,473.4165050312473
200,473.33010329874554
201,473.44574210135016
202,473.5351759070882
203,473.14096279143024
204,473.30660705252154
205,473.6967810743586
206,473.5395532337598
207,473.0967680006104
208,473.6925211973862
209,473.3604315482258
210,473.13103249840407
211,473.51080716650864
212,473.42944368548535
213,473.4462277718165
214,473.5950493268843
215,473.55187876308713
216,473.1644072549326
217,473.3730652071026
218,473.1511133095196
219,473.64578150811366
220,473.15022128678396
221,472.8724346298565
222,473.48501373488136
223,473.2970418749169
224,473.11470316243094
225,473.3669933805036
226,473.5330081761008
227,473.3640142058101
228,473.91197897973933
229,473.4561969670377
230,473.4619910070142
231,473.40513659787865
232,473.55687872004177
233,473.2537353688442
234,473.1071045003701
235,473.0971225156286
236,473.3975595767262
237,473.4118880009602
238,473.46844282340675
239,473.39898884671885
240,473.1396754495696
241,473.29721538915277
242,473.4054580517458
243,473.28237686524255
244,473.1656019464732
245,473.5543294936492
246,473.3044578272088
247,473.16389676510624
248,473.37835165138694
249,473.4175623749817
250,473.3075856603029
251,473.42415794606876
252,473.29468438229486
253,473.3469740042149
254,473.6010874016223
255,473.44059872697767
256,473.3185968970078
257,473.42795243157207
258,473.2563444365211
259,471.70947426928194
260,473.3604207564945
261,473.3629817132578
262,473.28443391834656
263,473.4327975792233
264,473.07909347926255
265,473.3707383900727
266,473.6923901581792
267,473.42937176516216
268,473.10817729248316
269,473.2938819658963
270,473.50870962576806
271,473.1939666762302
272,473.3664133485068
273,473.08506718609124
274,473.09445872181334
275,473.2246112016441
276,473.6998637553847
277,473.1566461232598
278,473.4955395951129
279,473.26390217932254
280,473.3230086548449
281,473.50426697856716
282,473.06593455289413
283,473.51720959549755
284,473.3383438833773
285,473.28148956222276
286,473.724261745382
