episode,total_reward
1,1139.2449624337262
2,-160.02576940512193
3,-104.41604512509386
4,-124.11431071774015
5,-146.81922474914785
6,-121.02760753115146
7,-121.29850638870099
8,-120.73564834649325
9,-122.94941254538348
10,-145.10370547269528
11,-123.4849049033768
12,-94.37097180232864
13,-90.35102316994099
14,-148.20081556770975
15,-123.29034526679645
16,-98.01382977875276
17,-100.35289949203093
18,-91.83758677629976
19,-147.71224777621637
20,-93.35508905821283
21,-125.07617279240999
22,-143.76756831614028
23,-146.35412492459392
24,-120.16812569338342
25,-142.6513486067382
26,-126.70517852060883
27,-145.32619468153464
28,-91.54555625373922
29,-149.622236072161
30,-96.08078923723409
31,-95.68796039146227
32,-149.2462928284454
33,-101.38686410896051
34,-383.7098684965555
35,1087.8228353878076
36,1052.5133733497146
37,1160.5748662281148
38,1126.369041374673
39,1122.45618850289
40,1122.3185491369477
41,1106.9458602734815
42,1047.9791821097465
43,1035.6067290983476
44,-5322.726254762299
45,-3838.091576812916
46,-125.44493944163467
47,-139.42703858406497
48,-86.89962647484927
49,-151.06799918551593
50,-150.46120215293664
51,-149.6891380862475
52,-88.3431333145455
53,-91.04899153643274
54,-89.8181101890195
55,-91.03706591807907
56,-92.14636556279348
57,-92.69127687324001
58,-94.24054167160804
59,-94.19268556183385
60,-94.00888269564132
61,-93.99445624413926
62,-91.42155071784795
63,-93.91302238188524
64,-93.30064322018517
65,-90.92059580511165
66,-148.73755236723076
67,-87.45518330105544
68,-89.42887208829563
69,-91.2320184440537
70,-92.26809077199657
71,-94.29516118464724
72,-94.36847802987565
73,-93.0876394607717
74,-94.08766595875883
75,-94.08515064930054
76,-94.25071666299448
77,-93.81046434309755
78,-94.09881776906849
79,-94.1777938607888
80,-93.28685945914178
81,-92.6706254564466
82,-88.96246650782662
83,-144.80803459204023
84,-95.51145839411376
85,-124.44600121373634
86,-147.61464176188062
87,-145.59230506616095
88,-145.3112195708767
89,-125.00817759470678
90,-326.4898485343621
91,-96.58244353407139
92,-98.78127002280073
93,-147.5095846243354
94,-125.58223168757175
95,-143.88663208413442
96,-97.23925990648713
97,-100.48246371721032
98,-151.63465153649722
99,-214.08545306370587
100,1142.5493813458154
101,654.8913242821626
102,-93.53831743226775
103,-92.01568706443206
104,-145.8026593007162
105,-141.01278041588168
106,-91.43541061639262
107,-91.83674631504849
108,-117.24930709614668
109,-124.07319925648216
110,-140.82460322832054
111,-148.2679540142073
112,-94.61224254348544
113,-149.31702091489373
114,-119.27730982589438
115,-123.01242107886151
116,-98.33909069971432
117,-145.53159990822962
118,-158.69905994752565
119,-1661.5796217940888
120,-158.63044667110802
121,-92.92364265133506
122,-91.63802135046112
123,-92.70546104627314
124,-124.34062645592455
125,810.7994877450525
126,-150.1381718292569
127,-154.35516853674883
128,-94.31339339840255
129,-120.52521907876803
130,-115.8348044041964
131,-94.82574169056886
132,-1008.9196389621479
133,-120.41752046540887
134,-146.78435646650465
135,-234.6953996131549
136,-101.40457608836272
137,-91.51228236971377
138,-89.85855743299504
139,-90.43608741598493
140,-142.4509717035679
141,-123.39161238983341
142,-153.7678531661707
143,-551.6249083383551
144,-400.9861705517288
145,-128.35460836121683
146,-100.34033970463715
147,-144.98539808508306
148,-204.1953448956055
149,-95.12011071696193
150,-92.01924514509173
151,-661.4680444610601
152,-93.96869161391331
153,-108.57298076636727
154,-905.9027008706413
155,-341.45832885475926
156,-149.02908854530267
157,-140.34645280543876
158,-124.57399644530001
159,-193.11544961950483
160,-123.06273216676408
161,-118.42252425031413
162,-120.42430520404633
163,-122.20876076365988
164,-123.14260766948922
165,-123.60567960885795
166,-123.70079932571385
167,-123.76535933359703
168,-123.95772646450345
169,-124.12135483093337
170,-124.19759700058083
171,-124.3518979156846
172,-141.1253855014553
173,-141.19613838186416
174,-141.28260555620827
175,-141.3691084213885
176,-141.42417166754046
177,-253.95366187883192
178,-128.6308298605701
179,-123.31971291818624
180,-277.32272613312546
181,-138.3025433076574
182,-125.20856495439358
183,-165.38831328414645
184,-180.56074264049522
185,-90.90243957377771
186,-143.5540554122081
187,-155.80866716615571
188,-99.68009630561936
189,-138.31181258971014
190,1010.8010869966025
191,-131.50113052813546
192,-97.54028624722845
193,-93.24932620012615
194,-101.88849772399671
195,-911.5508409297029
196,-145.4854642527346
197,-119.19045381476393
198,-97.01074970769801
199,-98.89675369978332
200,-98.82420011375953
201,-120.02494636846814
202,-120.49802536535655
203,-120.71251022869939
204,-120.84688602927426
205,-121.00319644741573
206,-121.13280053299134
207,-121.27126319012561
208,-121.61086448099805
209,-121.96144362205249
210,-122.00379759950663
211,-122.49709511674098
212,-122.92680434616904
213,-123.24079014986376
214,-123.86095052923358
215,-124.29002704548473
216,-141.16956486030205
217,-141.25154182820705
218,-141.29421993869863
219,-124.61423457834755
220,-98.44008277090089
221,-141.3521259517959
222,-97.65658035062889
223,-141.35374075867594
224,-144.93442359386376
225,-91.86645434999245
226,-141.41044561384524
227,-90.53253260952849
228,-147.2323809084005
229,-93.1913995138679
230,-141.35165634803067
231,-141.34327104284975
232,-141.3475599063202
233,-141.3458493412244
234,-141.35307905384963
235,-141.35902309762923
236,-141.3597444852004
237,-141.35742970327215
238,-141.35481987302498
239,-141.3594097873029
240,-92.58434871514417
241,-99.34760297834512
242,-147.38901480781374
243,-141.4441600424825
244,-145.04275023689712
245,-141.48285563923983
246,-143.7992960028461
247,-149.18075024198683
248,-142.87150612571207
249,-141.50163040537564
250,-141.50600024623404
251,-141.50917724496674
252,-148.07275380680244
253,-141.54352468873049
254,-146.98139048326283
255,-141.587244787337
256,-141.59173222881495
257,-146.52803611290614
258,-144.85998230194372
259,-144.25260477494098
260,-141.6070553609005
261,-143.0681650184266
262,-141.6407515795997
263,-122.8141618250794
264,-119.86882567762711
265,-141.18253735815622
266,-141.2108413345801
267,-141.62358336884262
268,-141.7255117874318
269,-141.71296154527786
270,-141.71657813144964
271,-141.66870318761755
272,-141.74521451220124
273,-141.7531921972431
274,-141.74979169906936
275,-141.73001387069155
276,-141.75441410527384
277,-141.74965879626782
278,-141.74956865678664
279,-141.7516319876858
280,-141.72315553865627
281,-141.73335662951953
282,-141.72977443628787
283,-141.70567197742443
284,-121.4590196969582
285,-141.2044429739275
286,-141.74068154068755
287,-145.27363801045612
288,-92.16993617069406
289,-144.45095003461373
290,-141.6741425502844
291,-93.44837631168124
292,-124.58542262633685
293,-96.03025771829098
294,-141.12128011441138
295,-141.6266611147508
296,-97.49855049481481
297,-146.20293363712153
298,-94.57395252627776
299,-97.43512389394988
300,-122.70778323207574
301,-97.49793659018539
302,-144.8544410816305
303,-95.18368609589498
304,-91.38874292299073
305,-117.80812873134401
306,-96.91173927161829
307,-146.6734989791653
308,-120.15546444965868
309,-119.88743413127517
310,-96.39465544213715
311,-94.75960135236934
312,-97.36127460816103
313,-121.23443524673523
314,-116.90564050439681
315,-149.77878744835806
316,-147.7342164307713
317,-145.4515901373232
318,-147.0395168547019
319,-149.61353976373388
320,-92.97118974191426
321,-92.26798871451209
322,-90.62432101620658
323,-123.19349838355696
324,-146.56928746532896
325,-145.47105969411376
326,-123.51429326857611
327,-146.6554009599696
328,-97.9034693563142
329,-119.467897590448
330,-96.62275453381616
331,-143.3381653794233
332,-121.40874031613068
333,-122.97187927551778
334,-147.36241634244354
335,-120.76950422246567
336,-120.43955110447662
337,-97.26527731299852
338,-118.71242430747247
339,-92.9209328842378
340,-143.80243349213868
341,-124.11033117135862
342,-144.44717623105575
343,-117.30644314272308
344,-93.66867994419002
345,-142.0056191538983
346,-93.78440686350734
347,-153.64967087995825
348,-96.86543744745796
349,-144.5981935814656
350,-120.98926618090516
351,-118.74480608106971
352,-144.91955394267205
353,-100.71464396386094
354,-143.74221731128512
355,-148.78840946618115
356,-98.2440218125372
357,-96.74788033273154
358,-97.50227640021588
359,-123.9797148616911
360,-145.63585613142106
361,-118.54481457776049
362,-97.62597112202009
363,-150.7616185235166
364,-148.5323768465335
365,-97.1658982443398
366,-120.41756068229105
367,-98.59064981394283
368,-102.81578113036528
369,-98.41505230314093
370,-118.36697157116366
371,-102.25060191996533
372,-97.81493211635166
373,-96.45790386617644
374,-143.83826894874034
375,-100.60151784783918
376,-98.69594824318904
377,-148.7690727088866
378,-93.49256501024684
379,-122.34414356825904
380,-96.0504733883516
381,-144.85662681886188
382,-99.26975276612379
383,-143.46205013279825
384,-122.48826988276258
385,-102.4551918453395
386,-117.23648735583456
387,-93.9410863119233
388,-118.20540406651975
389,-95.52519706153419
390,-123.85517502549008
391,-117.38631345725938
392,-122.4069327697417
393,-100.97540768243522
394,-91.40193995904454
395,-98.0795375272796
396,-97.90015920708403
397,-145.0877216654739
398,-99.11096330364182
399,-121.2592498305074
400,-130.440104305732
401,-99.21964937214783
402,-99.87790889877269
403,-124.18132835375438
404,-151.03284071544206
405,-148.7939638943072
406,-145.8325899806736
407,-117.40976782838275
408,-147.92169627206965
409,-152.60727271601155
410,-120.73086632788497
411,-122.28441147367192
412,-115.93621807371558
413,-193.29728074229138
414,-94.61582329572904
415,1031.246067655547
416,-149.8827289342413
417,-143.8366865493171
418,-142.78920813155423
419,-138.4562899014772
420,-140.4516416526867
421,-139.42447973442987
422,-121.48140871877393
423,-140.1487495436251
424,-122.96816324378668
425,-140.5908457240696
426,-124.64141926748538
427,-116.07903184258703
428,-117.35918444259137
429,-122.44360780611339
430,-125.58078725329827
431,-123.44658966870297
432,-99.1901368536194
433,-117.22900090357652
434,-92.55887551333376
435,-115.10209795164128
436,-100.78021704941068
437,-115.77382809210275
438,-119.8804887153399
439,-118.97304624524656
440,-115.16715741957299
441,-124.37406687020697
442,-96.56438525761536
443,-116.73142237689228
444,-116.57164730739449
445,-118.59529269593833
446,-101.05942619888718
447,-96.11923249343579
448,-91.47880639984862
449,-120.13089191835084
450,-128.10075613218513
451,-95.0442207353556
452,-149.63826820284288
453,-151.6513778214607
454,-162.20848945371435
455,-133.18145350262176
456,-195.1825614506743
457,-3379.0447215860777
458,223.60489742556024
459,-164.30693990095298
460,-117.23197875470265
461,-133.4179950547016
462,-158.128497669855
463,-162.00144872924062
464,-128.1893031902602
465,-101.03843049516298
466,-150.54583632510068
467,-152.63144771187535
468,-157.8047957024075
469,-155.58729412851358
470,-96.63297900256548
471,-152.15814603380667
472,-147.87163237596548
473,-96.06471418268758
474,-98.64273790142248
475,-99.30336932731709
476,-126.25346650485298
477,-147.0484386133147
478,-100.09087771981106
479,-151.31094003287396
480,-97.49676190307906
481,-118.64583900405836
482,-101.69234254505908
483,-116.16113299879758
484,-119.37779214414911
485,-122.40068833544382
486,-115.64483181041602
487,-124.589377041554
488,-125.38971326367809
489,-142.27739211535604
490,-145.51070448153848
491,-149.78999922314011
492,-146.79756664293134
493,-88.13939763156588
494,-149.55122212782874
495,-88.05986579250761
496,-148.32268329150713
497,-147.77916749675117
498,-150.55233169098415
499,-151.28858630715916
500,-89.54880351587579
501,-149.97680174053758
502,-150.497353179772
503,-151.03421311468938
504,-87.73184621539112
505,-87.28490246161786
506,-88.92125562017095
507,-89.90338927799593
508,-89.03666533234923
509,-145.29479082381238
510,-142.80626253906283
511,-142.1441376545552
512,-146.87834686283696
513,-149.70674433592154
514,-149.72807198837356
515,-150.46287084417392
516,-88.20561742083629
517,-89.79978288202389
518,-93.2541781594769
519,-93.70107297226731
520,-93.36915595110611
521,-94.33764336088066
522,-94.34579525324646
523,-94.35840980572229
524,-93.8555629768199
525,-93.64674463816047
526,-92.87000653247006
527,-91.18091402108591
528,-88.79552073882704
529,-145.8718021942721
530,-138.81505742753652
531,-114.94369601962006
532,-94.60442315661577
533,-98.39919922139043
