episode,total_reward
1,449.90521654572854
2,-84.86663286590382
3,-49.7458603109915
4,-56.4933696203206
5,-61.31409041177604
6,-49.98837423660692
7,-59.68276546865417
8,-43.3122272484383
9,-59.083328250636484
10,-50.469749595328935
11,-41.046446218122355
12,-60.50444410170607
13,-56.34724849838187
14,-38.0801735803381
15,-883.2952475399183
16,-40.98001986016679
17,-49.45667251669356
18,-37.33368377597205
19,-63.20672219342968
20,355.8505241830595
21,-47.00175745558863
22,181.48187966505
23,-44.80777267706137
24,-62.8508065895442
25,457.4480153141804
26,-46.9774919699841
27,-46.57771739632358
28,-50.40978257576331
29,-53.206762916529335
30,-50.9777050062576
31,-47.31684373187433
32,-43.82372867025455
33,-36.863865442666494
34,-57.91087143553209
35,-41.61733224376398
36,-48.10537250051358
37,-71.21540312990564
38,-313.70791658829455
39,428.76211002876323
40,449.2232211094961
41,450.35131470334466
42,459.7821556750465
43,453.5242171454634
44,457.57894669870177
45,473.1240181637621
46,459.90343931553724
47,465.27434772654607
48,466.98247532001164
49,469.3361713960754
50,471.22743966335844
51,471.7846166660615
52,471.77573511348487
53,472.29431071856413
54,471.9912317710095
55,472.81569434779465
56,473.184256095401
57,473.2029000061676
58,472.9604437673464
59,473.04106631383286
60,473.4159732698123
61,473.37753179864154
62,473.4972818270529
63,473.0995270422686
64,473.39257501280144
65,473.08958152615173
66,473.43120632965594
67,473.29138843513357
68,472.74618656216336
69,473.09978079378203
70,473.2403469929357
71,473.66509432214855
72,473.4062419587258
73,473.3299095550097
74,472.6760892939489
75,473.50330824514907
76,473.15945917388603
77,473.3823652302554
78,473.24487688152664
79,473.39964148989924
80,473.5161927060933
81,473.1560835432349
82,473.1087812811601
83,473.40177724873917
84,473.46821642857117
85,473.30204951967727
86,473.4805120541626
87,473.3664380253008
88,473.31044298772645
89,473.0133878882629
90,472.86490214726973
91,472.6423663766953
92,473.304717234845
93,473.6559235752266
94,473.2073063448711
95,473.597015102417
96,473.44203418168524
97,473.4946950573647
98,473.56675913628976
99,473.4686961984588
100,473.4999215255085
101,472.8428858208359
102,473.6015474289537
103,473.58359823772213
104,473.3103690175609
105,473.60287020923835
106,473.6560597270616
107,473.36991776579873
108,473.32911773676057
109,473.4847892072039
110,473.3502378880083
111,472.5652097256231
112,473.0964580448798
113,473.70273882991285
114,473.3425253675466
115,473.4928576157739
116,473.08554244674013
117,473.2672167782813
118,473.5321536990347
119,473.4117678292155
120,472.9504548795746
121,473.64806070023485
122,473.62771360454116
123,473.10183605982354
124,473.08136966101205
125,473.74744601823704
126,473.3016005262402
127,473.4250379249187
128,473.4079055414313
129,473.22306548907204
130,473.3500707046936
131,473.26349875746683
132,473.185128864275
133,473.3866627309845
134,473.5320803830532
135,473.58591296063616
136,473.2158619869646
137,472.9284476219554
138,473.19934090236364
139,473.3038777559071
140,473.41195621079476
141,473.7139178840717
142,473.33887377424116
143,472.9994254222282
144,473.31368270116064
145,473.1571284502686
146,473.33635930869724
147,473.2952410034832
148,473.062313765064
149,473.44694582211594
150,473.37865618529264
151,473.46609252300135
152,473.0083827356209
153,473.614141153953
154,473.4793530070581
155,473.41728224975304
156,473.45587652993237
157,473.3489737776573
158,473.25255058006957
159,473.48538985671655
160,473.2096147982409
161,473.20394978277284
162,473.4283374561246
163,473.4033301268673
164,473.3081622178622
165,473.4934920783752
166,473.60851444246987
167,473.2709167463519
168,473.30875550318655
169,473.38074211600036
170,473.2318323779494
171,473.49026024760195
172,473.09123462512855
173,473.3403658719046
174,473.01507561902076
175,472.8677781675112
176,473.2833800618834
177,473.34844478719623
178,473.4469630646749
179,473.5019843930829
180,472.8945122627151
181,473.19016862118235
182,473.17058842914514
183,473.5390096677267
184,472.94494871338776
185,473.13529542018085
186,473.55565362438875
187,473.342791451283
188,473.35837939360766
189,473.39663715805915
190,473.1744430793533
191,473.1645575887168
192,473.2407770238451
193,473.34006735540567
194,473.1409201171472
195,473.1228484986249
196,472.63821746504055
197,473.3718779196159
198,473.31642813136136
199,473.39751422607463
200,473.28328946739686
201,473.1177744858345
202,473.4621186730214
203,472.7339816387484
204,473.3765610021948
205,472.9579319169871
206,473.314347488253
207,473.43405530115484
208,473.42741414662964
209,473.59826382144763
210,473.1247191556916
211,473.3282418229462
212,473.3974416745649
213,473.2343519713701
214,473.6423042817106
215,473.58452278334306
216,473.58689018982994
217,473.6291313095786
218,473.455215510678
219,473.3502832592973
220,473.2526057801458
221,473.3445651965378
222,473.02583004262584
223,473.4982516333401
224,473.2588059462569
225,472.885120082016
226,472.8716900214075
227,473.42911068638546
228,473.13312305712685
229,473.41949506159756
230,473.2431326418679
231,473.06555252716646
232,473.4637725651979
233,473.31458761245983
234,472.9892636590547
235,473.1324420087025
236,473.0805581734119
237,473.0294076372108
238,473.45121592791355
239,472.90169687950794
240,473.263144069776
241,473.36054305051334
242,473.39567150618666
243,473.3134294147052
244,473.4433604854688
245,473.4671512896697
246,473.79699370939534
247,473.355266083526
248,473.5197795294629
249,473.25628581852897
250,473.08639896253186
251,473.6769982740377
252,473.4016757631414
253,473.32279366193893
254,473.215811238909
255,473.49389209876415
256,473.0160363720302
257,472.60014981078166
258,473.3523167586043
259,473.47047577910706
260,473.322505864408
261,473.41574619716636
262,473.44530544994456
263,473.5214381404806
264,473.1679703659047
265,472.91928353187626
266,473.3618432473389
267,473.33562072525257
268,473.34982378283536
269,473.4824245939184
270,473.48234638752626
271,473.1030007586288
272,473.38966199796226
273,473.5274815452216
274,473.5153531956096
275,473.21543290074504
276,473.04282178046276
277,473.1301698913901
278,473.46859460063064
279,473.4538015484092
280,473.4682184102939
281,473.70466216907346
282,473.0210374771043
283,473.3963012337165
284,472.8459392670806
285,473.5694480227902
286,473.5639550267691
287,473.3044112445238
288,473.4100634297487
289,473.49393233291147
290,473.473254424185
291,473.08062494406295
292,472.97617268045235
293,473.3945165507858
294,473.04742305106356
295,473.3875924497471
296,473.43266394547425
297,473.36593997052364
298,473.54717676454646
299,473.34722983410603
300,473.14443380744274
301,473.26544834187445
302,473.414984611028
303,473.72627653786276
304,473.496421648412
305,472.9323546131119
306,473.34468951726933
307,473.21970926396403
308,473.11861291641736
309,473.44170967484916
310,473.5073810016014
311,473.6677608234695
312,473.6058406428394
313,473.2026528526296
314,473.3609867493872
315,473.2607972818796
316,473.3362550001359
317,473.54834415233523
318,473.1331937723814
